Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
13-01-2026,0.96,1.02,0.96,2032,66218931,65821368.89,0.99,0.96,0.04,3.98%
12-01-2026,0.94,0.96,0.93,774,19287064,18151671.04,0.96,0.94,0.02,1.92%
09-01-2026,0.94,0.94,0.93,427,9389900,8785341.09,0.94,0.94,0.0,0.21%
08-01-2026,0.94,0.94,0.93,326,7068424,6624363.23,0.94,0.94,0.0,-0.32%
07-01-2026,0.94,0.94,0.93,488,9889545,9263514.01,0.94,0.94,0.0,0.32%
06-01-2026,0.93,0.94,0.93,437,10428426,9762764.63,0.94,0.94,0.0,0.00%
05-01-2026,0.95,0.95,0.93,798,14065496,13157951.93,0.94,0.95,-0.02,-1.89%
02-01-2026,0.94,0.96,0.94,660,17049823,16191300.46,0.95,0.94,0.01,1.38%
31-12-2025,0.94,0.96,0.94,650,12545563,11801564.72,0.94,0.94,0.0,0.21%
30-12-2025,0.94,0.94,0.92,541,11203996,10446652.09,0.94,0.94,0.0,-0.11%
29-12-2025,0.94,0.95,0.94,623,12690795,11941354.64,0.94,0.94,0.0,0.11%
26-12-2025,0.94,0.95,0.93,188,3435213,3229932.81,0.94,0.94,0.0,-0.21%
25-12-2025,0.93,0.94,0.93,409,6755744,6342219.78,0.94,0.94,0.0,0.32%
24-12-2025,0.92,0.94,0.91,891,21250266,19808448.25,0.94,0.92,0.02,1.74%
23-12-2025,0.95,0.96,0.92,680,27640789,25947959.84,0.92,0.95,-0.03,-3.05%
22-12-2025,0.96,0.97,0.94,743,13635763,12958954.29,0.95,0.96,-0.01,-0.63%
19-12-2025,0.95,0.97,0.94,808,11250725,10738537.4,0.96,0.95,0.01,0.74%
18-12-2025,0.98,0.99,0.95,1045,18621528,17890797.03,0.95,0.98,-0.03,-3.46%
17-12-2025,1.0,1.01,0.98,314,5993171,5944707.8,0.98,1.0,-0.02,-1.60%
16-12-2025,0.99,1.01,0.99,444,7337590,7338024.8,1.0,0.99,0.01,0.50%
15-12-2025,1.0,1.02,0.98,519,15789705,15806827.41,0.99,1.01,-0.02,-1.58%
12-12-2025,1.01,1.02,1.0,396,15278764,15339923.79,1.01,1.01,0.0,0.00%
11-12-2025,1.03,1.03,0.99,763,31191705,31454651.84,1.01,1.03,-0.02,-1.94%
10-12-2025,0.99,1.03,0.99,1330,64046608,64337809.03,1.03,0.99,0.04,4.25%
09-12-2025,0.96,0.99,0.96,1522,41982831,41051767.79,0.99,0.96,0.02,2.49%
08-12-2025,0.91,0.99,0.91,2274,90250248,87218890.68,0.96,0.91,0.06,6.05%
05-12-2025,0.91,0.92,0.9,732,32426147,29257192.89,0.91,0.91,0.0,-0.22%
04-12-2025,0.93,0.93,0.91,553,9267066,8521931.0,0.91,0.92,-0.01,-0.98%
03-12-2025,0.93,0.95,0.92,1296,41094349,38368703.47,0.92,0.93,-0.01,-0.65%
28-11-2025,0.89,0.94,0.89,1551,51432706,47051032.39,0.93,0.89,0.03,3.58%
27-11-2025,0.89,0.92,0.89,2649,48592003,43751732.29,0.89,0.89,0.01,1.02%
26-11-2025,0.84,0.89,0.84,1683,66107244,57749503.5,0.89,0.84,0.04,5.23%
25-11-2025,0.85,0.86,0.84,486,13406971,11390131.78,0.84,0.85,-0.01,-1.41%
24-11-2025,0.84,0.86,0.84,371,9091400,7720764.1,0.85,0.85,0.0,0.35%
21-11-2025,0.85,0.87,0.84,674,23562111,20068096.44,0.85,0.85,0.0,-0.47%
20-11-2025,0.85,0.86,0.85,509,21225197,18062165.54,0.85,0.85,0.0,0.47%
19-11-2025,0.85,0.86,0.84,831,29359930,24889199.2,0.85,0.85,0.0,0.00%
18-11-2025,0.85,0.85,0.82,1427,30838518,25984667.71,0.85,0.84,0.01,0.95%
