Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
30-12-2025,260.0,260.0,256.0,21,1107,286960.6,256.0,259.95,-3.95,-1.52%
29-12-2025,255.05,259.95,255.05,9,220,56990.8,259.95,259.95,0.0,0.00%
26-12-2025,260.0,260.0,256.6,11,173,44564.6,259.95,260.0,-0.05,-0.02%
25-12-2025,263.0,265.0,252.5,12,477,123133.05,260.0,260.0,0.0,0.00%
24-12-2025,255.0,260.0,254.0,20,706,181519.0,260.0,255.0,5.0,1.96%
23-12-2025,259.0,259.0,253.0,13,177,45562.0,255.0,258.0,-3.0,-1.16%
22-12-2025,252.0,259.45,252.0,13,543,139553.35,258.0,252.0,6.0,2.38%
19-12-2025,247.5,252.0,247.5,15,1774,442931.0,252.0,248.0,4.0,1.61%
18-12-2025,248.85,248.85,244.0,8,470,115600.4,248.0,244.95,3.05,1.25%
17-12-2025,244.0,249.0,244.0,4,77,18944.25,244.95,244.0,0.95,0.39%
16-12-2025,248.0,250.0,237.0,24,952,231098.05,244.0,247.0,-3.0,-1.22%
15-12-2025,248.0,248.0,245.0,12,586,144659.5,247.0,248.0,-1.0,-0.40%
12-12-2025,245.0,248.0,244.0,12,1042,256710.0,248.0,243.0,5.0,2.06%
11-12-2025,0.0,0.0,0.0,0,0,0.0,0.0,243.0,0.0,0.00%
10-12-2025,243.0,243.0,243.0,1,8,1944.0,243.0,243.0,0.0,0.00%
09-12-2025,243.0,246.0,243.0,13,204,49740.0,243.0,243.0,0.0,0.00%
08-12-2025,237.0,243.0,237.0,3,54,13116.0,243.0,237.0,6.0,2.53%
05-12-2025,244.0,244.0,237.0,11,479,116611.0,237.0,241.0,-4.0,-1.66%
04-12-2025,244.0,244.0,240.0,6,370,88842.0,241.0,240.0,1.0,0.42%
03-12-2025,240.0,244.0,240.0,9,130,31216.0,240.0,240.0,0.0,0.00%
28-11-2025,240.0,240.0,238.5,7,49,11734.5,240.0,240.0,0.0,0.00%
27-11-2025,240.0,244.0,240.0,13,1431,347332.5,240.0,240.0,0.0,0.00%
26-11-2025,238.0,240.0,227.0,18,891,208385.15,240.0,238.0,2.0,0.84%
25-11-2025,239.2,242.0,237.05,11,556,133358.0,238.0,239.2,-1.2,-0.50%
24-11-2025,239.2,239.2,239.2,5,270,64584.0,239.2,239.2,0.0,0.00%
21-11-2025,239.5,242.0,239.2,16,528,126743.25,239.2,239.2,0.0,0.00%
20-11-2025,239.3,239.4,236.95,9,188,44819.8,239.2,239.5,-0.3,-0.13%
19-11-2025,237.0,239.5,237.0,6,182,43214.0,239.5,238.0,1.5,0.63%
18-11-2025,239.0,239.0,238.0,5,179,42771.0,238.0,240.9,-2.9,-1.20%
