Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
19-12-2025,14.1,14.15,13.85,1535,21225633,294942555.2,13.85,14.1,-0.25,-1.77%
18-12-2025,14.15,14.25,14.1,791,5546897,78646720.3,14.1,14.2,-0.1,-0.70%
17-12-2025,14.35,14.4,14.2,1360,8707278,124146601.8,14.2,14.4,-0.2,-1.39%
16-12-2025,14.25,14.45,14.15,1419,20362412,291893936.15,14.4,14.2,0.2,1.41%
15-12-2025,14.2,14.3,14.0,1280,11954127,169295475.75,14.2,14.2,0.0,0.00%
12-12-2025,14.2,14.3,14.1,777,7410111,105220273.15,14.2,14.2,0.0,0.00%
11-12-2025,14.15,14.25,14.0,1254,13528325,191338389.55,14.2,14.15,0.05,0.35%
10-12-2025,14.0,14.2,13.95,1524,14003627,197704279.6,14.15,14.05,0.1,0.71%
09-12-2025,13.85,14.05,13.75,1400,12666107,176900079.7,14.05,13.85,0.2,1.44%
08-12-2025,14.05,14.05,13.8,1883,12332553,171683856.9,13.85,14.05,-0.2,-1.42%
05-12-2025,13.65,14.05,13.65,1572,15836958,220330233.3,14.05,13.65,0.4,2.93%
04-12-2025,13.55,13.9,13.5,1672,14041823,192416658.25,13.65,13.55,0.1,0.74%
03-12-2025,13.35,13.55,13.3,1607,11578999,155978366.1,13.55,13.3,0.25,1.88%
28-11-2025,13.25,13.35,13.15,863,9081823,120493434.7,13.3,13.2,0.1,0.76%
27-11-2025,13.25,13.4,13.2,1006,6526972,86699706.9,13.2,13.25,-0.05,-0.38%
26-11-2025,13.25,13.35,13.15,1096,8382069,111147345.85,13.25,13.25,0.0,0.00%
25-11-2025,13.4,13.6,13.25,1387,10041418,135002584.9,13.25,13.4,-0.15,-1.12%
24-11-2025,13.4,13.45,13.05,1807,21890494,292191179.15,13.4,13.4,0.0,0.00%
21-11-2025,13.4,13.4,13.15,1269,9850610,130957906.5,13.4,13.55,-0.15,-1.11%
20-11-2025,13.3,13.6,13.25,1065,9739605,131016407.9,13.55,13.2,0.35,2.65%
19-11-2025,13.35,13.45,13.1,1490,17141057,227139239.55,13.2,13.35,-0.15,-1.12%
18-11-2025,13.4,13.45,13.3,1324,12152150,162468126.0,13.35,13.5,-0.15,-1.11%
